row_id,order_id ,cust_id ,created_date,created_at,item_id ,quantity ,delivery 
1,ORD_00001,251,2023-01-01,11:44:56,it002,8,1
2,ORD_00001,251,2023-01-01,11:44:56,it017,7,1
3,ORD_00001,251,2023-01-01,11:44:56,it006,3,1
4,ORD_00001,251,2023-01-01,11:44:56,it006,1,1
5,ORD_00001,251,2023-01-01,11:44:56,it010,6,1
6,ORD_00002,75,2023-01-01,12:43:00,it023,4,1
7,ORD_00002,75,2023-01-01,12:43:00,it029,4,1
8,ORD_00002,75,2023-01-01,12:43:00,it009,2,1
9,ORD_00002,75,2023-01-01,12:43:00,it030,6,1
10,ORD_00003,128,2023-01-01,12:03:27,it033,6,0
11,ORD_00003,128,2023-01-01,12:03:27,it037,6,0
12,ORD_00003,128,2023-01-01,12:03:27,it004,6,0
13,ORD_00004,116,2023-01-01,20:33:41,it022,6,1
14,ORD_00004,116,2023-01-01,20:33:41,it028,1,1
15,ORD_00004,116,2023-01-01,20:33:41,it029,5,1
16,ORD_00005,61,2023-01-01,11:36:00,it036,8,1
17,ORD_00005,61,2023-01-01,11:36:00,it001,3,1
18,ORD_00006,61,2023-01-01,22:20:10,it019,7,0
19,ORD_00006,61,2023-01-01,22:20:10,it020,10,0
20,ORD_00007,292,2023-01-01,18:49:00,it025,1,1
21,ORD_00008,127,2023-01-01,10:30:20,it012,8,1
22,ORD_00008,127,2023-01-01,10:30:20,it024,9,1
23,ORD_00009,40,2023-01-01,21:56:27,it021,5,0
24,ORD_00009,40,2023-01-01,21:56:27,it010,5,0
25,ORD_00010,77,2023-01-01,22:32:33,it013,7,0
26,ORD_00010,77,2023-01-01,22:32:33,it007,3,0
27,ORD_00010,77,2023-01-01,22:32:33,it032,3,0
28,ORD_00010,77,2023-01-01,22:32:33,it001,9,0
29,ORD_00010,77,2023-01-02,22:32:33,it016,10,0
30,ORD_00011,165,2023-01-02,11:51:25,it036,10,1
31,ORD_00011,165,2023-01-02,11:51:25,it002,5,1
32,ORD_00011,165,2023-01-02,11:51:25,it012,6,1
33,ORD_00011,165,2023-01-02,11:51:25,it006,5,1
34,ORD_00012,129,2023-01-02,22:54:55,it025,1,1
35,ORD_00012,129,2023-01-02,22:54:55,it022,4,1
36,ORD_00012,129,2023-01-02,22:54:55,it028,3,1
37,ORD_00013,123,2023-01-02,22:35:32,it018,8,0
38,ORD_00013,123,2023-01-02,22:35:32,it005,6,0
39,ORD_00013,123,2023-01-02,22:35:32,it016,10,0
40,ORD_00014,220,2023-01-02,19:57:59,it004,1,1
41,ORD_00014,220,2023-01-02,19:57:59,it003,5,1
42,ORD_00014,220,2023-01-03,19:57:59,it003,1,1
43,ORD_00014,220,2023-01-03,19:57:59,it006,1,1
44,ORD_00015,147,2023-01-03,13:28:00,it017,10,1
45,ORD_00015,147,2023-01-03,13:28:00,it014,8,1
46,ORD_00016,295,2023-01-03,11:29:45,it012,3,0
47,ORD_00016,295,2023-01-03,11:29:45,it001,4,0
48,ORD_00016,295,2023-01-03,11:29:45,it016,3,0
49,ORD_00017,202,2023-01-03,13:11:53,it003,7,1
50,ORD_00018,193,2023-01-03,22:37:05,it028,5,1
51,ORD_00018,193,2023-01-03,22:37:05,it036,3,1
52,ORD_00019,30,2023-01-03,22:41:24,it023,3,0
53,ORD_00019,30,2023-01-03,22:41:24,it033,5,0
54,ORD_00019,30,2023-01-03,22:41:24,it010,10,0
55,ORD_00019,30,2023-01-03,22:41:24,it023,8,0
56,ORD_00019,30,2023-01-03,22:41:24,it009,10,0
57,ORD_00019,30,2023-01-03,22:41:24,it016,9,0
58,ORD_00020,50,2023-01-03,20:54:31,it029,1,0
59,ORD_00023,23,2023-01-04,21:17:49,it018,3,0
60,ORD_00023,23,2023-01-04,21:17:49,it030,10,0
61,ORD_00023,23,2023-01-04,21:17:49,it037,7,0
62,ORD_00023,23,2023-01-04,21:17:49,it030,3,0
63,ORD_00024,201,2023-01-04,22:50:26,it002,2,1
64,ORD_00024,201,2023-01-04,22:50:26,it004,5,1
65,ORD_00025,30,2023-01-04,11:00:04,it021,8,1
66,ORD_00025,30,2023-01-04,11:00:04,it037,9,1
67,ORD_00026,40,2023-01-04,20:25:04,it026,3,0
68,ORD_00026,40,2023-01-04,20:25:04,it002,6,0
69,ORD_00026,40,2023-01-04,20:25:04,it037,6,0
70,ORD_00027,151,2023-01-04,21:08:49,it004,8,1
71,ORD_00027,151,2023-01-04,21:08:49,it011,1,1
